Unnamed: 0	ld_carboxypeptidase-unclustered	ld_carboxypeptidase-mmseqs_cluster	ld_carboxypeptidase-foldseek_cluster
21902	A0A3N2LJJ9	A0A1B1SBN7	A0A3E3E572
21903	A0A3N2MJK6	A0A1B1SBN7	A0A3E3E572
21904	A0A7K3KT50	A0A1B1SBN7	A0A3E3E572
21905	A0A3N2N3Z7	A0A1B1SBN7	A0A3E3E572
21906	R5B1K4	A0A1B1SBN7	A0A3E3E572
21907	A0A4Q0IXK7	A0A1B1SBN7	A0A3E3E572
21908	A0A1Q6EIR1	A0A1B1SBN7	A0A3E3E572
21909	A0A3L7ZXR7	A0A1B1SBN7	A0A3E3E572
21910	A0A3C1Y5S4	A0A1B1SBN7	A0A3E3E572
21911	A0A4Q0J504	A0A1B1SBN7	A0A3E3E572
21912	A0A4S4HA99	A0A1B1SBN7	A0A3E3E572
21913	UPI001FD7F411	A0A1B1SBN7	A0A3E3E572
21914	A0A4Y9IZZ0	A0A1B1SBN7	A0A3E3E572
21915	A0A8J7R5Z2	A0A1B1SBN7	A0A3E3E572
21916	A0A316MRP5	A0A1B1SBN7	A0A3E3E572
21917	UPI001FFD04D2	UPI001FFD04D2	
21918	R7LUK1	R7LUK1	A0A3E3E572
21919	R5KE60	R7LUK1	A0A3E3E572
21920	R7LI12	R7LUK1	A0A3E3E572
21921	R7JE79	R7LUK1	A0A3E3E572
21922	A0A292R3A8	R7LUK1	A0A3E3E572
21923	R5DKZ4	R7LUK1	A0A3E3E572
21924	A0A1D7YV05	R7LUK1	A0A3E3E572
21925	A0A1Q6U1A1	R7LUK1	A0A3E3E572
21926	R7MJM9	R7LUK1	A0A3E3E572
21927	A0A349HXQ0	R7LUK1	A0A3E3E572
21928	A0A327IZW2	R7LUK1	A0A3E3E572
21929	A0A327JD28	R7LUK1	A0A3E3E572
21930	A0A0R2VEE5	A0A0R2VEE5	A0A3E3E572
21931	A0A0W1KIU4	A0A0W1KIU4	A0A660MZL1
21932	UPI000837D1D0	A0A0W1KIU4	A0A660MZL1
21933	UPI0008A40FAE	A0A0W1KIU4	A0A660MZL1
21934	A0A3S4WHF0	A0A0W1KIU4	A0A660MZL1
21935	UPI002167F327	A0A0W1KIU4	A0A660MZL1
21936	UPI00057E09D5	A0A0W1KIU4	A0A660MZL1
21937	UPI000468A151	A0A0W1KIU4	A0A660MZL1
21938	UPI000F856171	A0A0W1KIU4	A0A660MZL1
21939	UPI000F856ADB	A0A0W1KIU4	A0A660MZL1
21940	A0A806M985	A0A0W1KIU4	A0A660MZL1
21941	UPI000C1B60DC	A0A0W1KIU4	A0A660MZL1
21942	UPI000D25763C	A0A0W1KIU4	A0A660MZL1
21943	A0A3Q9GF35	A0A0W1KIU4	A0A660MZL1
21944	UPI002168EA28	A0A0W1KIU4	A0A660MZL1
21945	UPI00215C1183	A0A0W1KIU4	A0A660MZL1
21946	A0A7M1QYE6	A0A0W1KIU4	A0A660MZL1
21947	UPI001ABE6E2E	A0A0W1KIU4	A0A660MZL1
21948	A0A7M1QST6	A0A0W1KIU4	A0A660MZL1
21949	UPI00186BA89B	A0A0W1KIU4	A0A660MZL1
21950	A0A117M0J4	A0A117M0J4	A0A7X7FE45
21951	A0A151ARL1	A0A151ARL1	A0A1W6KC51
21952	A0A0L6ZB25	A0A151ARL1	A0A1W6KC51
21953	A0A2T0AL78	A0A151ARL1	A0A1W6KC51
21954	A0A1D2LEM5	A0A1D2LEM5	A0A660MZL1
21955	UPI00083F94C6	A0A1D2LEM5	A0A660MZL1
21956	UPI00083F9BF1	A0A1D2LEM5	A0A660MZL1
21957	UPI00083FB3C8	A0A1D2LEM5	A0A660MZL1
21958	UPI000E71AEC8	A0A1D2LEM5	A0A660MZL1
21959	UPI000D78D3CC	A0A1D2LEM5	A0A660MZL1
21960	A0A2X0S0Q3	A0A1D2LEM5	A0A660MZL1
21961	A0A1F7RP35	A0A1F7RP35	A0A7X7QSS1
21962	A0A1F9F3R7	A0A1F9F3R7	A0A7X7FE45
21963	A0A1G0H797	A0A1G0H797	
21964	A0A1G8JXB4	A0A1G8JXB4	A0A543A0R1
21965	A0A1V6JCK1	A0A1V6JCK1	A0A108T442
21966	A0A1W9HNC5	A0A1W9HNC5	A0A2C6E889
21967	A0A268HBM2	A0A268HBM2	A0A2C6E889
21968	UPI0015C3968F	A0A268HBM2	A0A2C6E889
21969	UPI001C2C7881	A0A268HBM2	A0A2C6E889
21970	UPI0015835D29	A0A268HBM2	A0A2C6E889
21971	UPI00068936E1	A0A268HBM2	A0A2C6E889
21972	UPI0015C7740A	A0A268HBM2	A0A2C6E889
21973	UPI00148388A7	A0A268HBM2	A0A2C6E889
21974	UPI0015CF7B95	A0A268HBM2	A0A2C6E889
21975	UPI00159513D0	A0A268HBM2	A0A2C6E889
21976	UPI0015951ABF	A0A268HBM2	A0A2C6E889
21977	UPI0015951C7A	A0A268HBM2	A0A2C6E889
21978	A0A268AB00	A0A268HBM2	A0A2C6E889
21979	UPI001474EC8E	A0A268HBM2	A0A2C6E889
21980	A0A268BTQ6	A0A268HBM2	A0A2C6E889
21981	A0A2D5ZXV1	A0A2D5ZXV1	A0A3E3E572
21982	A0A2E2R432	A0A2E2R432	A0A844GDF8
21983	UPI001108CA92	A0A2E2R432	A0A844GDF8
21984	A0A151QJU1	A0A2E2R432	A0A844GDF8
21985	UPI0013580EDF	A0A2E2R432	A0A844GDF8
21986	UPI0018DDE6EC	A0A2E2R432	A0A844GDF8
21987	A6GPE4	A0A2E2R432	A0A844GDF8
21988	A0A947Z070	A0A2E2R432	A0A844GDF8
21989	A0A2D6RUL4	A0A2E2R432	A0A844GDF8
21990	UPI00214C6A36	A0A2E2R432	A0A844GDF8
21991	UPI00211910E4	A0A2E2R432	A0A844GDF8
21992	A0A2G1PH68	A0A2G1PH68	A0A3D0YST2
21993	A0A4Q7DK75	A0A4Q7DK75	A0A3E3E572
21994	A0A4V1W9L9	A0A4V1W9L9	A0A147KAH7
21995	A0A523G8W7	A0A523G8W7	A0A7X7FE45
21996	A0A533HVB0	A0A533HVB0	A0A660MZL1
21997	A0A2N6SCW8	A0A533HVB0	A0A660MZL1
21998	A0A6H1F1J4	A0A533HVB0	A0A660MZL1
21999	UPI0004E27673	A0A533HVB0	A0A660MZL1
22000	UPI0008076E13	A0A533HVB0	A0A660MZL1
22001	UPI00195D79BF	A0A533HVB0	A0A660MZL1
22002	C5NUX2	A0A533HVB0	A0A660MZL1
22003	A0A134A669	A0A533HVB0	A0A660MZL1
22004	UPI00040CE935	A0A533HVB0	A0A660MZL1
22005	UPI0012DD28D0	A0A533HVB0	A0A660MZL1
22006	A0A6I6BRP8	A0A533HVB0	A0A660MZL1
22007	UPI001CCDDDFE	A0A533HVB0	A0A660MZL1
22008	A0A930C965	A0A533HVB0	A0A660MZL1
22009	A0A5A5RRQ5	A0A5A5RRQ5	A0A5A5RRQ5
22010	A0A5A5R508	A0A5A5RRQ5	A0A5A5RRQ5
22011	A0A5A5S1P5	A0A5A5RRQ5	A0A5A5RRQ5
22012	A0A2Z6UZW4	A0A5A5RRQ5	A0A5A5RRQ5
22013	A0A402DDL7	A0A5A5RRQ5	A0A5A5RRQ5
22014	A0A5J4F5G2	A0A5A5RRQ5	A0A5A5RRQ5
22015	A0A5S3VEQ8	A0A5S3VEQ8	A0A2C6E889
22016	UPI001F1BB69F	A0A5S3VEQ8	A0A2C6E889
22017	UPI000C2CEB26	A0A5S3VEQ8	A0A2C6E889
22018	UPI000CF5F1F3	A0A5S3VEQ8	A0A2C6E889
22019	UPI001F2B2EB6	A0A5S3VEQ8	A0A2C6E889
22020	UPI000AAC053A	A0A5S3VEQ8	A0A2C6E889
22021	A0A1S1MWT5	A0A5S3VEQ8	A0A2C6E889
22022	A0A1S1NAF0	A0A5S3VEQ8	A0A2C6E889
22023	UPI00217802C9	A0A5S3VEQ8	A0A2C6E889
22024	UPI000B25D510	A0A5S3VEQ8	A0A2C6E889
22025	UPI00217A550A	A0A5S3VEQ8	A0A2C6E889
22026	A0A5H2XZE9	A0A5S3VEQ8	A0A2C6E889
22028	A0A6A0HZH9	A0A6A0HZH9	A0A6A0IMM5
22029	A0A7Y5G4W3	A0A6A0HZH9	A0A6A0IMM5
22030	A0A7C2U0B5	A0A6A0HZH9	A0A6A0IMM5
22031	A0A7Y5CLP8	A0A6A0HZH9	A0A6A0IMM5
22032	A0A7Y5K753	A0A6A0HZH9	A0A6A0IMM5
22033	A0A6I5HWQ9	A0A6I5HWQ9	A0A2C6E889
22034	A0A4R5FUM5	A0A6I5HWQ9	A0A2C6E889
22035	A0A4R4WGI5	A0A6I5HWQ9	A0A2C6E889
22036	UPI001409B4A8	A0A6I5HWQ9	A0A2C6E889
22037	UPI00140E4C2C	A0A6I5HWQ9	A0A2C6E889
22038	UPI0015FA5F91	A0A6I5HWQ9	A0A2C6E889
22039	UPI001EF31D08	A0A6I5HWQ9	A0A2C6E889
22040	A0A6N6Q6R7	A0A6N6Q6R7	C9N182
22041	A0A6P1ZJH6	A0A6P1ZJH6	A0A5K1I9X5
22042	A0A7C2H7A6	A0A7C2H7A6	A0A5C1Q7L6
22043	A0A7C3QVY3	A0A7C3QVY3	A0A3E3E572
22044	UPI001C073661	A0A372GT42	A0A2C6E889
22045	UPI001C0775F2	A0A372GT42	A0A2C6E889
22046	A0A372GT42	A0A372GT42	A0A2C6E889
22047	UPI001FF3EE47	A0A372GT42	A0A2C6E889
22048	UPI001FF44F8C	A0A372GT42	A0A2C6E889
22049	UPI001AE0A0AF	A0A372GT42	A0A2C6E889
22050	A0A2E5BIM2	A0A372GT42	A0A2C6E889
22051	A0A3G2L8R8	A0A372GT42	A0A2C6E889
22052	UPI00201F710C	A0A372GT42	A0A2C6E889
22053	UPI0013D512A6	A0A372GT42	A0A2C6E889
22054	UPI000CD468C3	A0A372GT42	A0A2C6E889
22055	UPI001FF4FBE0	A0A372GT42	A0A2C6E889
22056	UPI000B533930	A0A372GT42	A0A2C6E889
22057	A0A430K2X4	A0A372GT42	A0A2C6E889
22058	UPI0016558586	A0A372GT42	A0A2C6E889
22059	UPI000CD43991	A0A372GT42	A0A2C6E889
22060	UPI0011EC20AF	A0A372GT42	A0A2C6E889
22061	A0A7K0E7L4	A0A372GT42	A0A2C6E889
22062	UPI001BE01BA0	A0A372GT42	A0A2C6E889
22063	A0A844N0P9	A0A372GT42	A0A2C6E889
22064	UPI00188A3624	A0A372GT42	A0A2C6E889
22065	UPI001C06D3B7	A0A372GT42	A0A2C6E889
22066	UPI001C078DD0	A0A372GT42	A0A2C6E889
22067	UPI001492C8DD	A0A372GT42	A0A2C6E889
22068	UPI00188BD799	A0A372GT42	A0A2C6E889
22069	UPI001A911A51	A0A372GT42	A0A2C6E889
22070	UPI00056E8CC7	A0A372GT42	A0A2C6E889
22071	UPI00188C7183	A0A372GT42	A0A2C6E889
22072	UPI00188CA63D	A0A372GT42	A0A2C6E889
22073	A0A8F6AUL3	A0A372GT42	A0A2C6E889
22074	UPI001BFF1193	A0A372GT42	A0A2C6E889
22075	UPI0003FF9743	A0A372GT42	A0A2C6E889
22076	A0A8F6G181	A0A372GT42	A0A2C6E889
22077	UPI00110E1E99	A0A372GT42	A0A2C6E889
22078	UPI00040E593C	A0A372GT42	A0A2C6E889
22079	A0A2A5GLY1	A0A372GT42	A0A2C6E889
22080	A0A7X2ZUF1	A0A372GT42	A0A2C6E889
22081	UPI0013D8487D	A0A372GT42	A0A2C6E889
22082	UPI001BD4CD89	A0A372GT42	A0A2C6E889
22083	A0A0R2SZA5	A0A372GT42	A0A2C6E889
22084	A0A348NCX7	A0A372GT42	A0A2C6E889
22085	C0BMS6	A0A372GT42	A0A2C6E889
22086	UPI000A39424D	A0A372GT42	A0A2C6E889
22087	UPI00123C9560	A0A372GT42	A0A2C6E889
22088	UPI0020438B6C	A0A372GT42	A0A2C6E889
22089	UPI0014472277	A0A372GT42	A0A2C6E889
22090	UPI0004064220	A0A372GT42	A0A2C6E889
22091	A0A2A4G237	A0A372GT42	A0A2C6E889
22092	A0A3A1NHV8	A0A372GT42	A0A2C6E889
22093	A0A432J9S1	A0A372GT42	A0A2C6E889
22094	A0A3A1NS83	A0A372GT42	A0A2C6E889
22095	A0A5N5ILL5	A0A372GT42	A0A2C6E889
22096	A0A6I5KYB3	A0A372GT42	A0A2C6E889
22097	A0A4S8RLW7	A0A372GT42	A0A2C6E889
22098	A0A418N9D5	A0A372GT42	A0A2C6E889
22099	UPI000F8D66F1	A0A372GT42	A0A2C6E889
22100	A0A958R8T2	A0A372GT42	A0A2C6E889
22101	UPI001D192845	A0A372GT42	A0A2C6E889
22102	A0A6I1DYR6	A0A372GT42	A0A2C6E889
22103	A0A5B2TV32	A0A372GT42	A0A2C6E889
22104	UPI0021AFDB77	A0A372GT42	A0A2C6E889
22105	A0A2G5LB73	A0A372GT42	A0A2C6E889
22106	A0A223V142	A0A372GT42	A0A2C6E889
22107	A0A5R8M8B8	A0A372GT42	A0A2C6E889
22108	UPI000255B598	A0A372GT42	A0A2C6E889
22109	A0A1V6LQC8	A0A372GT42	A0A2C6E889
22110	A0A2G5KE22	A0A372GT42	A0A2C6E889
22111	A0A3S9NRQ7	A0A372GT42	A0A2C6E889
22112	A0A371JTT9	A0A372GT42	A0A2C6E889
22113	A0A8T9VIZ1	A0A372GT42	A0A2C6E889
22114	G2PP00	A0A372GT42	A0A2C6E889
22115	A0A8X8MTF6	A0A372GT42	A0A2C6E889
22116	UPI001CD4380D	A0A372GT42	A0A2C6E889
22117	UPI0010A5B1A2	A0A372GT42	A0A2C6E889
22118	A0A3A1N2J5	A0A372GT42	A0A2C6E889
22119	A0A850NFT2	A0A372GT42	A0A2C6E889
22120	A0A2E1AP23	A0A372GT42	A0A2C6E889
22121	UPI00056AFC92	A0A372GT42	A0A2C6E889
22122	A0A3B0CB33	A0A372GT42	A0A2C6E889
22123	A0A4U1LYM3	A0A372GT42	A0A2C6E889
22124	A0A7H9AKZ8	A0A372GT42	A0A2C6E889
22125	UPI001A907EC6	A0A372GT42	A0A2C6E889
22126	UPI001A8D2582	A0A372GT42	A0A2C6E889
22127	UPI001FF287BE	A0A372GT42	A0A2C6E889
22128	A0A6G7IZG8	A0A372GT42	A0A2C6E889
22129	A0A2D9C0S3	A0A372GT42	A0A2C6E889
22130	UPI000D358333	A0A372GT42	A0A2C6E889
22131	UPI00143A9423	A0A372GT42	A0A2C6E889
22132	UPI001C67F2E4	A0A372GT42	A0A2C6E889
22133	UPI00082B4953	A0A372GT42	A0A2C6E889
22134	UPI001CE050D7	A0A372GT42	A0A2C6E889
22135	A0A7K3NAL3	A0A372GT42	A0A2C6E889
22136	A0A424M5X4	A0A372GT42	A0A2C6E889
22137	UPI000F8E8C0E	A0A372GT42	A0A2C6E889
22138	UPI000D389203	A0A372GT42	A0A2C6E889
22139	A0A7Y6XU16	A0A372GT42	A0A2C6E889
22140	A0A831QNX0	A0A372GT42	A0A2C6E889
22141	UPI0013E0AC8B	A0A372GT42	A0A2C6E889
22142	UPI001A8F5423	A0A372GT42	A0A2C6E889
22143	UPI001FF5C127	A0A372GT42	A0A2C6E889
22144	UPI000648CF22	A0A372GT42	A0A2C6E889
22145	UPI000B5C4031	A0A372GT42	A0A2C6E889
22146	UPI0017812B83	A0A372GT42	A0A2C6E889
22147	UPI001E461A72	A0A345PNX7	A0A3E3E572
22148	A0A345PNX7	A0A345PNX7	A0A3E3E572
22149	UPI0002E8B83F	A0A345PNX7	A0A3E3E572
22150	UPI00050A1608	A0A345PNX7	A0A3E3E572
22151	UPI0019211A20	A0A345PNX7	A0A3E3E572
22152	UPI00202F9850	A0A345PNX7	A0A3E3E572
22153	A0A1C3EW62	A0A345PNX7	A0A3E3E572
22154	UPI000256BE30	A0A345PNX7	A0A3E3E572
22155	UPI0022578FCE	A0A345PNX7	A0A3E3E572
22156	UPI000363FAEE	A0A345PNX7	A0A3E3E572
22157	UPI0007DB27FC	A0A345PNX7	A0A3E3E572
22158	UPI0010FBCD68	A0A345PNX7	A0A3E3E572
22159	UPI001C4972CE	A0A345PNX7	A0A3E3E572
22160	A0A0S2C9W5	A0A345PNX7	A0A3E3E572
22161	UPI0022609576	A0A345PNX7	A0A3E3E572
22162	UPI0002891AF6	A0A345PNX7	A0A3E3E572
22163	UPI001FAAD134	A0A345PNX7	A0A3E3E572
22164	UPI000EF20B22	A0A345PNX7	A0A3E3E572
22165	UPI00024F9B20	A0A345PNX7	A0A3E3E572
22166	UPI00030BB049	A0A345PNX7	A0A3E3E572
22167	UPI00037D6866	A0A345PNX7	A0A3E3E572
22168	UPI000253009B	A0A345PNX7	A0A3E3E572
22169	UPI001FB4498D	A0A345PNX7	A0A3E3E572
22170	A0A0F3MTA8	A0A345PNX7	A0A3E3E572
22171	UPI000253019F	A0A345PNX7	A0A3E3E572
22172	UPI00030DAB47	A0A345PNX7	A0A3E3E572
22173	UPI0022557F0B	A0A345PNX7	A0A3E3E572
22174	A0A0F3PI03	A0A345PNX7	A0A3E3E572
22175	UPI000CDF2418	A0A345PNX7	A0A3E3E572
22176	A0A0F3QHT7	A0A345PNX7	A0A3E3E572
22177	A0A0F3R9G2	A0A345PNX7	A0A3E3E572
22178	UPI000973D6A0	A0A345PNX7	A0A3E3E572
22179	UPI00209D61DD	A0A345PNX7	A0A3E3E572
22180	UPI000789FB7E	A0A345PNX7	A0A3E3E572
22181	A0A8K1IZU2	A0A345PNX7	A0A3E3E572
22182	UPI002025AF21	A0A345PNX7	A0A3E3E572
22183	A0A8K1IY58	A0A345PNX7	A0A3E3E572
22184	UPI001E49119E	UPI001E49119E	
22185	UPI00215A9840	UPI00215A9840	
22186	UPI002162CE3F	UPI002162CE3F	
22187	UPI0021D40812	A0A1M7L2I3	A0A3E3E572
22188	A0A1M7L2I3	A0A1M7L2I3	A0A3E3E572
22189	UPI0020B8D775	A0A1M7L2I3	A0A3E3E572
22190	UPI001038300C	A0A1M7L2I3	A0A3E3E572
22191	UPI000481706E	A0A1M7L2I3	A0A3E3E572
22192	UPI001E177E9B	A0A1M7L2I3	A0A3E3E572
22193	UPI001BAEF638	A0A1M7L2I3	A0A3E3E572
22194	UPI00201D6100	A0A1M7L2I3	A0A3E3E572
22195	UPI001CEE020D	A0A1M7L2I3	A0A3E3E572
22196	A0A1Q9XLQ9	A0A1M7L2I3	A0A3E3E572
22197	A0A1S1NX88	A0A1M7L2I3	A0A3E3E572
22198	A0A420WV82	A0A1M7L2I3	A0A3E3E572
22199	UPI000481D76E	A0A1M7L2I3	A0A3E3E572
22200	A0A172YE97	A0A1M7L2I3	A0A3E3E572
22201	UPI000F7A5366	A0A1M7L2I3	A0A3E3E572
22202	UPI00091121F5	A0A1M7L2I3	A0A3E3E572
22203	UPI0018D9B007	A0A1M7L2I3	A0A3E3E572
22204	A0A3G2N1H9	A0A1M7L2I3	A0A3E3E572
22205	A0A5P2SK16	A0A1M7L2I3	A0A3E3E572
22206	UPI001667F489	A0A1M7L2I3	A0A3E3E572
22207	UPI001C60DE3B	A0A1M7L2I3	A0A3E3E572
22208	A0A553H070	A0A1M7L2I3	A0A3E3E572
22209	UPI0021D89575	A0A1M7L2I3	A0A3E3E572
22210	UPI0010FC077E	A0A1M7L2I3	A0A3E3E572
22211	UPI001C4596C3	A0A1M7L2I3	A0A3E3E572
22212	UPI0017848599	A0A1M7L2I3	A0A3E3E572
22213	A0A7G7RU96	A0A1M7L2I3	A0A3E3E572
22214	UPI0008A851CF	A0A1M7L2I3	A0A3E3E572
22215	A0A3D0JN47	A0A1M7L2I3	A0A3E3E572
22216	F6AJ34	A0A1M7L2I3	A0A3E3E572
22217	UPI0004870F57	A0A1M7L2I3	A0A3E3E572
22218	A0A1I3PIX2	A0A1M7L2I3	A0A3E3E572
22219	A0A5N7XYH2	A0A1M7L2I3	A0A3E3E572
22220	A0A1Q9XPJ2	A0A1M7L2I3	A0A3E3E572
22221	UPI000452962F	A0A1M7L2I3	A0A3E3E572
22222	UPI000960C839	A0A1M7L2I3	A0A3E3E572
22223	A0A1G7LKF7	A0A1M7L2I3	A0A3E3E572
22224	UPI002223AA24	A0A1G0GJR7	A0A7X7FE45
22225	UPI001056125C	A0A1G0GJR7	A0A7X7FE45
22226	UPI000E06B918	A0A1G0GJR7	A0A7X7FE45
22227	A0A1G0GJR7	A0A1G0GJR7	A0A7X7FE45
22228	UPI001246F981	A0A1G0GJR7	A0A7X7FE45
22229	A0A7G3ZY72	A0A1G0GJR7	A0A7X7FE45
22230	UPI001041A711	A0A1G0GJR7	A0A7X7FE45
22231	UPI0022443134	A0A1G0GJR7	A0A7X7FE45
22232	UPI000E1FBDC3	A0A1G0GJR7	A0A7X7FE45
22233	UPI001E4945DD	A0A1G0GJR7	A0A7X7FE45
22234	A0A2H5FKH4	A0A1G0GJR7	A0A7X7FE45
22235	UPI000E204556	A0A1G0GJR7	A0A7X7FE45
22236	UPI00048DF836	A0A1G0GJR7	A0A7X7FE45
22237	UPI002243C9D6	A0A1G0GJR7	A0A7X7FE45
22238	A0A8I1Q7K3	A0A1G0GJR7	A0A7X7FE45
22239	UPI0010411AC8	A0A1G0GJR7	A0A7X7FE45
22240	UPI001EE6F164	A0A1G0GJR7	A0A7X7FE45
22241	UPI0010125CAB	A0A1G0GJR7	A0A7X7FE45
22242	UPI00077776F7	A0A1G0GJR7	A0A7X7FE45
22243	UPI0002DE6047	A0A1G0GJR7	A0A7X7FE45
22244	UPI00072F3414	A0A1G0GJR7	A0A7X7FE45
22245	UPI002244CC10	A0A1G0GJR7	A0A7X7FE45
22246	A0A3A6U499	A0A1G0GJR7	A0A7X7FE45
22247	UPI0004852752	A0A1G0GJR7	A0A7X7FE45
22248	UPI001374BA64	A0A1G0GJR7	A0A7X7FE45
22249	UPI0007319A11	A0A1G0GJR7	A0A7X7FE45
22250	A0A8T3SHD7	A0A1G0GJR7	A0A7X7FE45
22251	UPI0009F2122E	A0A1G0GJR7	A0A7X7FE45
22252	UPI0022B5B95A	A0A1G0GJR7	A0A7X7FE45
22253	UPI000770812C	A0A1G0GJR7	A0A7X7FE45
22254	UPI0007708A6F	A0A1G0GJR7	A0A7X7FE45
22255	UPI000770A01F	A0A1G0GJR7	A0A7X7FE45
22256	UPI0002EF8555	A0A1G0GJR7	A0A7X7FE45
22257	A0A2Z3KSZ7	A0A1G0GJR7	A0A7X7FE45
22258	UPI001F125CDE	A0A1G0GJR7	A0A7X7FE45
22259	A0A7G4A4F5	A0A1G0GJR7	A0A7X7FE45
22260	A0A140J966	A0A1G0GJR7	A0A7X7FE45
22261	A0A0B0I883	A0A0B0I883	A0A1V5Q4F1
22262	A0A0J1ISN8	A0A0J1ISN8	A0A0J1ISN8
22263	A0A0S2K249	A0A0S2K249	A0A2C6E889
22264	UPI000FFE9A0A	A0A0S2K249	A0A2C6E889
22265	A0A4Q7IIX6	A0A0S2K249	A0A2C6E889
22266	A0A5S3YQS3	A0A0S2K249	A0A2C6E889
22267	UPI00110AF558	A0A0S2K249	A0A2C6E889
22268	A0A5R9Q5Y4	A0A0S2K249	A0A2C6E889
22269	UPI00110BFCB2	A0A0S2K249	A0A2C6E889
22270	A0A2D5T0U4	A0A0S2K249	A0A2C6E889
22271	A0A0Z8KJ03	A0A0Z8KJ03	A0A7V4IX61
22273	A0A1F4X7G6	A0A1F4X7G6	A0A2C6E889
22274	A0A7C5B5E8	A0A1F4X7G6	A0A2C6E889
22275	T0MQD0	A0A1F4X7G6	A0A2C6E889
22276	A0A1F8H2M0	A0A1F8H2M0	A0A3E3E572
22277	A0A0G1L586	A0A1F8H2M0	A0A3E3E572
22278	A0A1F9H7R1	A0A1F9H7R1	A0A6A0IMM5
22279	K2AMZ4	A0A1F9H7R1	A0A6A0IMM5
22280	A0A353EQR5	A0A1F9H7R1	A0A6A0IMM5
22281	A0A202DXW4	A0A1F9H7R1	A0A6A0IMM5
22282	UPI0021D4A7AC	UPI0021D4A7AC	
22284	A0A0N8WA64	A0A0N8WA64	A0A2C6E889
22285	A0A1F2RE80	A0A1F2RE80	A0A3E3E572
22286	A0A1F2RML3	A0A1F2RE80	A0A3E3E572
22287	A0A1F2RYP7	A0A1F2RE80	A0A3E3E572
22288	A0A932X118	A0A1F2RE80	A0A3E3E572
22289	A0A1F3P0H5	A0A1F3P0H5	A0A1F3P0H5
22290	A0A1F9HWU7	A0A1F9HWU7	A0A3E3E572
22291	A0A2H0P3C9	A0A1F9HWU7	A0A3E3E572
22293	A0A1I1LFH3	A0A1I1LFH3	A0A6L8EW27
22294	UPI00215622DA	A0A1I1LFH3	A0A6L8EW27
22295	UPI00194029E6	UPI00194029E6	
22296	UPI001ADEC038	A0A4Z0IZQ8	A0A4P5YFV9
22297	UPI001AE046CF	A0A4Z0IZQ8	A0A4P5YFV9
22298	UPI0011237705	A0A4Z0IZQ8	A0A4P5YFV9
22299	A0A4Z0IZQ8	A0A4Z0IZQ8	A0A4P5YFV9
22300	UPI001BA7C3AB	A0A4Z0IZQ8	A0A4P5YFV9
22301	UPI00126619BB	A0A4Z0IZQ8	A0A4P5YFV9
22302	UPI001D17D843	A0A4Z0IZQ8	A0A4P5YFV9
22303	UPI001423AA62	A0A4Z0IZQ8	A0A4P5YFV9
22304	UPI0009EE7246	A0A4Z0IZQ8	A0A4P5YFV9
22305	A0A0B9AQ32	A0A4Z0IZQ8	A0A4P5YFV9
22306	A0A144MY92	A0A4Z0IZQ8	A0A4P5YFV9
22307	A0A7C6TL18	A0A4Z0IZQ8	A0A4P5YFV9
22308	A0A1H1U3E6	A0A4Z0IZQ8	A0A4P5YFV9
22309	A0A556CQ84	A0A4Z0IZQ8	A0A4P5YFV9
22310	UPI0015E6AC91	A0A4Z0IZQ8	A0A4P5YFV9
22311	UPI00194F71E2	A0A4Z0IZQ8	A0A4P5YFV9
22312	UPI001B31B84C	A0A4Z0IZQ8	A0A4P5YFV9
22313	UPI0018DF97CE	A0A4Z0IZQ8	A0A4P5YFV9
22314	UPI0014200642	A0A4Z0IZQ8	A0A4P5YFV9
22315	UPI0021750D0D	A0A4Z0IZQ8	A0A4P5YFV9
22316	A0A5C4X3D7	A0A4Z0IZQ8	A0A4P5YFV9
22317	UPI001567AEAE	A0A4Z0IZQ8	A0A4P5YFV9
22318	UPI0015558DC9	A0A4Z0IZQ8	A0A4P5YFV9
22319	UPI0015E6DE15	A0A4Z0IZQ8	A0A4P5YFV9
22320	A0A2A3X262	A0A4Z0IZQ8	A0A4P5YFV9
22321	UPI00186864C7	A0A4Z0IZQ8	A0A4P5YFV9
22322	UPI0010F6CDA0	A0A4Z0IZQ8	A0A4P5YFV9
22323	A0A505H5I7	A0A4Z0IZQ8	A0A4P5YFV9
22324	UPI001E34A8F1	A0A4Z0IZQ8	A0A4P5YFV9
22325	UPI001F244342	A0A4Z0IZQ8	A0A4P5YFV9
22326	UPI001F3467CC	A0A4Z0IZQ8	A0A4P5YFV9
22327	UPI001CA8AFAF	A0A6B3VR28	A0A3E3E572
22328	A0A6B3VR28	A0A6B3VR28	A0A3E3E572
22329	UPI00085C0957	UPI00085C0957	
22330	UPI001386CE03	UPI001386CE03	
22331	UPI0012E9C024	UPI0012E9C024	
22332	UPI00138689C2	UPI00138689C2	
22333	UPI0009980BC5	UPI0009980BC5	
22334	A0A950UIL8	A0A950UIL8	
22335	A0A918YLQ7	A0A918YLQ7	
22336	UPI000A37E569	UPI000A37E569	
22337	UPI00067705A6	UPI00067705A6	
22338	UPI0022B4B925	A0A839L9L8	A0A6A0IMM5
22339	A0A839L9L8	A0A839L9L8	A0A6A0IMM5
22340	A0A7Y5UKN6	A0A839L9L8	A0A6A0IMM5
22341	UPI00196A7E5F	A0A839L9L8	A0A6A0IMM5
