	ld_carboxypeptidases_unclustered	ld_carboxypeptidases_mmseqs_cluster	ld_carboxypeptidases_foldseek_cluster
17603	UPI001F25485B	UPI00117E8B20	
17604	A0A6P1E750	UPI00117E8B20	
17605	UPI00132F89EA	UPI00117E8B20	
17606	UPI0021C4306B	UPI00117E8B20	
17607	A0A512PNH4	UPI00117E8B20	
17608	UPI0008F947E2	UPI00117E8B20	
17609	UPI000CF877DF	UPI00117E8B20	
17610	A0A3Q8CCV4	UPI00117E8B20	
17611	UPI0020A1BEA8	UPI00117E8B20	
17612	A0A6N4A8I2	UPI00117E8B20	
17613	UPI001E29316F	UPI00117E8B20	
17614	UPI00200D7EB4	UPI00117E8B20	
17615	UPI0010B1A42C	UPI00117E8B20	
17616	UPI0010B1C499	UPI00117E8B20	
17617	UPI0013216D41	UPI00117E8B20	
17618	A0A6N4HKY3	UPI00117E8B20	
17619	UPI000F76F4B2	UPI00117E8B20	
17620	UPI002009FCE3	UPI00117E8B20	
17621	UPI001C275990	UPI00117E8B20	
17622	UPI00132394EB	UPI00117E8B20	
17623	UPI0021A77CF4	UPI00117E8B20	
17624	UPI0013262B56	UPI00117E8B20	
17625	UPI001CC1F23F	UPI00117E8B20	
17626	UPI0013277658	UPI00117E8B20	
17627	UPI001C2B8A88	UPI00117E8B20	
17628	UPI000D0EC12F	UPI00117E8B20	
17629	UPI001E515FA9	UPI00117E8B20	
17630	UPI000E65B9C0	UPI00117E8B20	
17631	A0A386PW04	UPI00117E8B20	
17632	UPI00146A5D4F	UPI00117E8B20	
17633	UPI0021A7EC20	UPI00117E8B20	
17634	A0A4Q9Y5T5	UPI00117E8B20	
17635	UPI001F3CF8C0	UPI00117E8B20	
17636	UPI0003D3B575	UPI00117E8B20	
17637	UPI00191069C0	UPI00117E8B20	
17638	UPI0007EBA428	UPI00117E8B20	
17639	UPI000FF21FD7	UPI00117E8B20	
17640	UPI0009B56040	UPI00117E8B20	
17641	UPI001C032BBB	UPI00117E8B20	
17642	UPI00203B5B79	UPI00117E8B20	
17643	UPI0021C61662	UPI00117E8B20	
17644	UPI0021820BE7	UPI00117E8B20	
17645	UPI002014FE9C	UPI00117E8B20	
17646	UPI0015F5E593	UPI00117E8B20	
17647	UPI001172430B	UPI00117E8B20	
17648	UPI000930BCAE	UPI00117E8B20	
17649	UPI000931007C	UPI00117E8B20	
17650	UPI0009B3408C	UPI00117E8B20	
17651	UPI000FF0CE5B	UPI00117E8B20	
17652	UPI0015EC0E81	UPI00117E8B20	
17653	UPI0009B3799D	UPI00117E8B20	
17654	UPI0009B5114A	UPI00117E8B20	
17655	UPI00164F40E5	UPI00117E8B20	
17656	UPI0009B55B9E	UPI00117E8B20	
17657	UPI000978B641	UPI00117E8B20	
17658	UPI0016528F28	UPI00117E8B20	
17659	UPI0011C6FE9A	UPI00117E8B20	
17660	UPI00156D6114	UPI00117E8B20	
17661	UPI001BAC7785	UPI00117E8B20	
17662	UPI001C217D6B	UPI00117E8B20	
17663	UPI000F7B01C8	UPI00117E8B20	
17664	UPI0009B3D5B2	UPI00117E8B20	
17665	UPI0009786EEC	UPI00117E8B20	
17666	UPI000A17B855	UPI00117E8B20	
17667	UPI001FCC0FD3	UPI00117E8B20	
17668	UPI002104EB22	UPI00117E8B20	
17669	UPI0009B571DE	UPI00117E8B20	
17670	UPI0009348DE8	UPI00117E8B20	
17671	A0A2S1T810	UPI00117E8B20	
17672	UPI000977F41E	UPI00117E8B20	
17673	A0A5B7T174	UPI00117E8B20	
17674	UPI000E64BCE8	UPI00117E8B20	
17675	UPI000FF6EFA0	UPI00117E8B20	
17676	UPI001BDED2C1	UPI00117E8B20	
17677	UPI001AAFADDE	UPI00117E8B20	
17678	UPI001C5756A6	UPI00117E8B20	
17679	UPI001B32C32F	UPI00117E8B20	
17680	UPI000A26F479	UPI00117E8B20	
17681	UPI001B7FC280	UPI00117E8B20	
17682	A0A5J6SQZ5	UPI00117E8B20	
17683	A0A6M0P6M9	UPI00117E8B20	
17684	A0A8J8M8W5	UPI00117E8B20	
17685	UPI00049EA2A4	UPI00117E8B20	
17686	UPI00064EC4F9	UPI00117E8B20	
17687	UPI000B449BB7	UPI00117E8B20	
17688	UPI001653D1A7	UPI00117E8B20	
17689	UPI001CF3A496	UPI00117E8B20	
17690	UPI00203D0A8C	UPI00117E8B20	
17691	UPI00203FF1B6	UPI00117E8B20	
17692	UPI0020752B76	UPI00117E8B20	
17693	UPI0021B2E3AD	UPI00117E8B20	
17694	UPI002281498A	UPI00117E8B20	
17695	A0A7T6VRL1	UPI00117E8B20	
17696	UPI0011A50375	UPI00117E8B20	
17697	UPI0011A78C6A	UPI00117E8B20	
17698	UPI001D00412F	UPI00117E8B20	
17699	UPI001FA959C2	UPI00117E8B20	
17700	UPI001FFA5B21	UPI00117E8B20	
17701	A0A2A5IQY9	UPI00117E8B20	
17702	UPI00064ECA15	UPI00117E8B20	
17703	UPI00071777C4	UPI00117E8B20	
17704	UPI000771D5B6	UPI00117E8B20	
17705	UPI0007FB3B23	UPI00117E8B20	
17706	UPI000C7860E8	UPI00117E8B20	
17707	UPI000D03F770	UPI00117E8B20	
17708	UPI0011AB1106	UPI00117E8B20	
17709	UPI0011E841B2	UPI00117E8B20	
17710	UPI0012EFEC9D	UPI00117E8B20	
17711	UPI0016224D8F	UPI00117E8B20	
17712	UPI0004F7A9C3	UPI00117E8B20	
17713	UPI0011A527A4	UPI00117E8B20	
17714	UPI0014385CCF	UPI00117E8B20	
17715	UPI00145C2F33	UPI00117E8B20	
17716	UPI00227DBDB0	UPI00117E8B20	
17717	UPI00227F6402	UPI00117E8B20	
17718	UPI00081F9EDC	UPI00117E8B20	
17719	UPI001F4DE25F	UPI00117E8B20	
17720	UPI0021C2FE9A	UPI00117E8B20	
17721	A0A243C6W8	UPI00117E8B20	
17722	A0A8G1J5B1	UPI00117E8B20	
17723	UPI00017A68FA	UPI00117E8B20	
17724	UPI0008391156	UPI00117E8B20	
17725	UPI0008DBADF6	UPI00117E8B20	
17726	UPI000A27178F	UPI00117E8B20	
17727	UPI0010BE4130	UPI00117E8B20	
17728	UPI0011A53B81	UPI00117E8B20	
17729	UPI0018CDCDB0	UPI00117E8B20	
17730	UPI001C7D7229	UPI00117E8B20	
17731	UPI0020BD5970	UPI00117E8B20	
17732	UPI002100CB71	UPI00117E8B20	
17733	UPI002271667D	UPI00117E8B20	
17734	UPI0022AA2196	UPI00117E8B20	
17735	UPI0007766C5A	UPI00117E8B20	
17736	UPI00090A549A	UPI00117E8B20	
17737	UPI000D041091	UPI00117E8B20	
17738	UPI00168CB41F	UPI00117E8B20	
17739	UPI001BAB3434	UPI00117E8B20	
17740	UPI001CF037C4	UPI00117E8B20	
17741	UPI0022372DFE	UPI00117E8B20	
17742	UPI00227FA4C7	UPI00117E8B20	
17743	U7VB67	UPI00117E8B20	
17744	UPI000596C227	UPI00117E8B20	
17745	UPI0007613E96	UPI00117E8B20	
17746	UPI000DC336F8	UPI00117E8B20	
17747	UPI000DE01EFA	UPI00117E8B20	
17748	UPI00192B0F43	UPI00117E8B20	
17749	UPI001F2B4439	UPI00117E8B20	
17750	UPI00207628E4	UPI00117E8B20	
17751	UPI002115E5C5	UPI00117E8B20	
17752	UPI0022B79EDB	UPI00117E8B20	
17753	UPI000D02ED1B	UPI00117E8B20	
17754	UPI00196107DC	UPI00117E8B20	
17755	UPI001BA7711F	UPI00117E8B20	
17756	UPI001CC9F1DC	UPI00117E8B20	
17757	UPI0021F3B151	UPI00117E8B20	
17758	A0A6I1MWR1	UPI00117E8B20	
17759	UPI001C392743	UPI00117E8B20	
17760	A0A3D4VPV4	UPI00117E8B20	
17761	UPI00045C490D	UPI00117E8B20	
17762	UPI000700A7C3	UPI00117E8B20	
17763	UPI0009BE4FF8	UPI00117E8B20	
17764	UPI000D02F69F	UPI00117E8B20	
17765	UPI000D04356C	UPI00117E8B20	
17766	UPI000E74FBD0	UPI00117E8B20	
17767	UPI0011A2ABA3	UPI00117E8B20	
17768	UPI0012DFB984	UPI00117E8B20	
17769	UPI00227EB140	UPI00117E8B20	
17770	A0A5K1PQZ0	UPI00117E8B20	
17771	UPI000597125E	UPI00117E8B20	
17772	UPI000682AB5C	UPI00117E8B20	
17773	UPI0011A05457	UPI00117E8B20	
17774	UPI0011A5DE03	UPI00117E8B20	
17775	UPI0018CFE3D4	UPI00117E8B20	
17776	UPI001C0C1BB6	UPI00117E8B20	
17777	UPI00204248D6	UPI00117E8B20	
17778	UPI00227DF4CB	UPI00117E8B20	
17779	A0A2D0K012	UPI00117E8B20	
17780	UPI00045C5E10	UPI00117E8B20	
17781	UPI0004D9BFD6	UPI00117E8B20	
17782	UPI000932496C	UPI00117E8B20	
17783	UPI000BA59CBB	UPI00117E8B20	
17784	UPI000D0441EF	UPI00117E8B20	
17785	UPI0019655ABB	UPI00117E8B20	
17786	UPI002281A461	UPI00117E8B20	
17787	A0A291DUX6	UPI00117E8B20	
17788	A0A7Y3SW14	UPI00117E8B20	
17789	UPI0002DDA0AB	UPI00117E8B20	
17790	UPI000D03029D	UPI00117E8B20	
17791	UPI000D166A06	UPI00117E8B20	
17792	UPI000D21AE79	UPI00117E8B20	
17793	UPI00192B5E0E	UPI00117E8B20	
17794	UPI001C2119E2	UPI00117E8B20	
17795	UPI001CF55E2F	UPI00117E8B20	
17796	UPI0020A1AA4F	UPI00117E8B20	
17797	UPI002116CCAB	UPI00117E8B20	
17798	UPI00227ECF5F	UPI00117E8B20	
17799	UPI002280C26D	UPI00117E8B20	
17800	UPI0022B7D003	UPI00117E8B20	
17801	A0A2D0L708	UPI00117E8B20	
17802	UPI00020750A4	UPI00117E8B20	
17803	UPI00054F494D	UPI00117E8B20	
17804	UPI00059735E6	UPI00117E8B20	
17805	UPI0005D45473	UPI00117E8B20	
17806	UPI000DAEB779	UPI00117E8B20	
17807	UPI0011E96099	UPI00117E8B20	
17808	UPI0012E1CE55	UPI00117E8B20	
17809	UPI00227E0207	UPI00117E8B20	
17810	UPI0022AB5A89	UPI00117E8B20	
17811	A0A2M8TB61	UPI00117E8B20	
17812	A0A3D3TPN6	UPI00117E8B20	
17813	A0A5N7IQM7	UPI00117E8B20	
17814	UPI0004DAF5CD	UPI00117E8B20	
17815	UPI0007DC35D7	UPI00117E8B20	
17816	UPI000BF5CB15	UPI00117E8B20	
17817	UPI000F8774B0	UPI00117E8B20	
17818	UPI001BAC7B32	UPI00117E8B20	
17819	UPI001BCC3B6C	UPI00117E8B20	
17820	UPI0020777CCB	UPI00117E8B20	
17821	UPI00040CE8E7	UPI00117E8B20	
17822	UPI0007512AF6	UPI00117E8B20	
17823	UPI000977AF16	UPI00117E8B20	
17824	UPI00119D343A	UPI00117E8B20	
17825	UPI0011A8AC1F	UPI00117E8B20	
17826	UPI001B82C35A	UPI00117E8B20	
17827	UPI001C2DC901	UPI00117E8B20	
17828	UPI00203DA213	UPI00117E8B20	
17829	UPI0020972E66	UPI00117E8B20	
17830	UPI00227E0548	UPI00117E8B20	
17831	A0A7X1LKH4	UPI00117E8B20	
17832	UPI000260B4EC	UPI00117E8B20	
17833	UPI0002DFB475	UPI00117E8B20	
17834	UPI0010AE0DED	UPI00117E8B20	
17835	UPI0010FF7731	UPI00117E8B20	
17836	UPI0011A0B237	UPI00117E8B20	
17837	UPI00164769A8	UPI00117E8B20	
17838	UPI001932922A	UPI00117E8B20	
17839	UPI001B3A21E3	UPI00117E8B20	
17840	UPI001BD0A2CE	UPI00117E8B20	
17841	UPI001C4DFD54	UPI00117E8B20	
17842	UPI00207A7518	UPI00117E8B20	
17843	UPI0022379B18	UPI00117E8B20	
17844	UPI002254683D	UPI00117E8B20	
17845	UPI0006B6816C	UPI00117E8B20	
17846	UPI000C1C5EA6	UPI00117E8B20	
17847	UPI000D36E9EE	UPI00117E8B20	
17848	UPI00115E762A	UPI00117E8B20	
17849	UPI001C0C43FF	UPI00117E8B20	
17850	A0A855RET5	UPI00117E8B20	
17851	UPI000650B9F0	UPI00117E8B20	
17852	UPI0007630542	UPI00117E8B20	
17853	UPI00094BE57B	UPI00117E8B20	
17854	UPI000C2505F8	UPI00117E8B20	
17855	UPI00119D537F	UPI00117E8B20	
17856	UPI0011B66E50	UPI00117E8B20	
17857	UPI0014597729	UPI00117E8B20	
17858	UPI001932C0DD	UPI00117E8B20	
17859	UPI001E343332	UPI00117E8B20	
17860	UPI0020A8007F	UPI00117E8B20	
17861	A0A401UL49	UPI00117E8B20	
17862	A0A8U0BY55	UPI00117E8B20	
17863	UPI00041FD0E8	UPI00117E8B20	
17864	UPI000693CE15	UPI00117E8B20	
17865	UPI000BC2D3F1	UPI00117E8B20	
17866	UPI000D02139A	UPI00117E8B20	
17867	UPI0015F1A178	UPI00117E8B20	
17868	UPI00192C6057	UPI00117E8B20	
17869	UPI00203C8F06	UPI00117E8B20	
17870	UPI00209B1ED1	UPI00117E8B20	
17871	UPI002281C6D0	UPI00117E8B20	
17872	UPI00064C8EA3	UPI00117E8B20	
17873	UPI00080AB4CD	UPI00117E8B20	
17874	UPI000D07C978	UPI00117E8B20	
17875	UPI000DBBCEBD	UPI00117E8B20	
17876	UPI00119EE0D3	UPI00117E8B20	
17877	UPI0011A0FFAB	UPI00117E8B20	
17878	UPI001B3A5C22	UPI00117E8B20	
17879	UPI001EF51ED7	UPI00117E8B20	
17880	UPI00215B43D8	UPI00117E8B20	
17881	A0A2T3NLF6	UPI00117E8B20	
17882	A0A917ALS1	UPI00117E8B20	
17883	UPI000597B4AF	UPI00117E8B20	
17884	UPI00071C254E	UPI00117E8B20	
17885	UPI0007EE98CF	UPI00117E8B20	
17886	UPI000EF302FA	UPI00117E8B20	
17887	UPI0011A12E58	UPI00117E8B20	
17888	UPI0020C04DF7	UPI00117E8B20	
17889	UPI0020C3FB20	UPI00117E8B20	
17890	UPI00227F1BF4	UPI00117E8B20	
17891	A0A943KYF3	UPI00117E8B20	
17892	UPI000543A9FB	UPI00117E8B20	
17893	UPI0007657BCD	UPI00117E8B20	
17894	UPI000B43F521	UPI00117E8B20	
17895	UPI001B840D18	UPI00117E8B20	
17896	UPI001CCB4785	UPI00117E8B20	
17897	UPI001CD700B9	UPI00117E8B20	
17898	UPI0022810E65	UPI00117E8B20	
17899	A0A8F8BCY6	UPI00117E8B20	
17900	T4VTV5	UPI00117E8B20	
17901	UPI0004118A6B	UPI00117E8B20	
17902	UPI00046A052E	UPI00117E8B20	
17903	UPI00077A3E4C	UPI00117E8B20	
17904	UPI000D02578A	UPI00117E8B20	
17905	UPI00119F12B1	UPI00117E8B20	
17906	UPI001BAE073C	UPI00117E8B20	
17907	UPI001CD98460	UPI00117E8B20	
17908	UPI001CF28D69	UPI00117E8B20	
17909	UPI001F429502	UPI00117E8B20	
17910	UPI00201DC7AA	UPI00117E8B20	
17911	UPI0021030855	UPI00117E8B20	
17912	A0A267XAB3	UPI00117E8B20	
17913	A0A5D4QTX0	UPI00117E8B20	
17914	A0A928AKT5	UPI00117E8B20	
17915	UPI0003F895BC	UPI00117E8B20	
17916	UPI0009214CC1	UPI00117E8B20	
17917	UPI000B4408A6	UPI00117E8B20	
17918	UPI000D0269FB	UPI00117E8B20	
17919	UPI000D7C31AB	UPI00117E8B20	
17920	UPI00119D7424	UPI00117E8B20	
17921	UPI00119F2735	UPI00117E8B20	
17922	UPI00227F365B	UPI00117E8B20	
17923	A0A4V3RKR7	UPI00117E8B20	
17924	A0A943L225	UPI00117E8B20	
17925	UPI000DCA4860	UPI00117E8B20	
17926	UPI0011A4045E	UPI00117E8B20	
17927	UPI001C0C67CC	UPI00117E8B20	
17928	UPI001C222EB6	UPI00117E8B20	
17929	UPI000D027264	UPI00117E8B20	
17930	UPI0011A9C2AD	UPI00117E8B20	
17931	UPI00125DA256	UPI00117E8B20	
17932	UPI0013262A49	UPI00117E8B20	
17933	UPI001C0D91C2	UPI00117E8B20	
17934	UPI001FA8368D	UPI00117E8B20	
17935	UPI000400720A	UPI00117E8B20	
17936	UPI00068144E2	UPI00117E8B20	
17937	UPI00095AAAC9	UPI00117E8B20	
17938	UPI000B2BA1EC	UPI00117E8B20	
17939	UPI000D0278FB	UPI00117E8B20	
17940	UPI000DCA77C7	UPI00117E8B20	
17941	UPI0011A44539	UPI00117E8B20	
17942	UPI00203FDD7F	UPI00117E8B20	
17943	UPI002236589F	UPI00117E8B20	
17944	A0A7X0S936	UPI00117E8B20	
17945	UPI000411D075	UPI00117E8B20	
17946	UPI000738D52E	UPI00117E8B20	
17947	UPI0015D53E97	UPI00117E8B20	
17948	UPI001C244AE3	UPI00117E8B20	
17949	UPI001CD73603	UPI00117E8B20	
17950	UPI00042EDDC0	UPI00117E8B20	
17951	UPI00061A17DC	UPI00117E8B20	
17952	UPI00071D1CCB	UPI00117E8B20	
17953	UPI000BDAAA8D	UPI00117E8B20	
17954	UPI000E2F2825	UPI00117E8B20	
17955	UPI000EBE6A4D	UPI00117E8B20	
17956	UPI00119F6A61	UPI00117E8B20	
17957	UPI001C119034	UPI00117E8B20	
17958	UPI00211DFBE0	UPI00117E8B20	
17959	A0A837EE85	UPI00117E8B20	
17960	UPI00110E51D0	UPI00117E8B20	
17961	UPI0013CCB6D8	UPI00117E8B20	
17962	UPI0018E0F28A	UPI00117E8B20	
17963	UPI0019D169D9	UPI00117E8B20	
17964	A0A264TB99	UPI00117E8B20	
17965	A0A0J8Y2M8	UPI00117E8B20	
17966	UPI0021C2A12D	UPI00117E8B20	
17967	UPI001FCB5BF5	UPI00117E8B20	
17968	UPI0015572C22	UPI00117E8B20	
17969	UPI001C11B401	UPI00117E8B20	
17970	UPI000C855ED4	UPI00117E8B20	
17971	UPI000D3A4C51	UPI00117E8B20	
17972	UPI0002F862FF	UPI00117E8B20	
17973	UPI000D3ADDC5	UPI00117E8B20	
17974	UPI0006CA5C34	UPI00117E8B20	
17975	UPI0022B26D46	UPI00117E8B20	
17976	UPI002079EE70	UPI00117E8B20	
17977	UPI000B3612CF	UPI00117E8B20	
17978	UPI000C861B54	UPI00117E8B20	
17979	UPI00073F36D3	UPI00117E8B20	
17980	UPI0020BFC777	UPI00117E8B20	
17981	UPI002283D378	UPI00117E8B20	
17982	UPI0022358C67	UPI00117E8B20	
17983	UPI000D36E9F2	UPI00117E8B20	
17984	UPI001FB424D3	UPI00117E8B20	
17985	UPI0006358CCF	UPI00117E8B20	
17986	UPI0021B27931	UPI00117E8B20	
17987	UPI000C8460D3	UPI00117E8B20	
17988	UPI000C84E9D4	UPI00117E8B20	
17989	UPI000F49D2A4	UPI00117E8B20	
17990	UPI0020486F86	UPI00117E8B20	
17991	A0A2T3J542	UPI00117E8B20	
17992	A0A099KZY7	UPI00117E8B20	
17993	A0A973BQQ5	UPI00117E8B20	
17994	A0A2G6QPU2	UPI00117E8B20	
17995	UPI0006D79615	UPI00117E8B20	
17996	UPI000638118E	UPI00117E8B20	
17997	UPI000A38A384	UPI00117E8B20	
17998	UPI001C11C04A	UPI00117E8B20	
17999	UPI001D144B11	UPI00117E8B20	
18000	UPI000A1C8783	UPI00117E8B20	
18001	UPI0021BA96A0	UPI00117E8B20	
18002	UPI001FF57248	UPI00117E8B20	
18003	A0A975AGY8	UPI00117E8B20	
18004	UPI0008347019	UPI00117E8B20	
18005	UPI002032AF93	UPI00117E8B20	
18006	UPI0020795C1F	UPI00117E8B20	
18007	UPI0009A8134E	UPI00117E8B20	
18008	UPI00064F404F	UPI00117E8B20	
18009	UPI001EE3801C	UPI00117E8B20	
18010	UPI00203CA43F	UPI00117E8B20	
18011	A0A5D4RXR9	UPI00117E8B20	
18012	A0A1W9N6J9	UPI00117E8B20	
18013	UPI001C0D0BD4	UPI00117E8B20	
18014	UPI00222E6DCF	UPI00117E8B20	
18015	UPI001C6EABEF	UPI00117E8B20	
18016	UPI001C0CB395	UPI00117E8B20	
18017	U2ECZ3	UPI00117E8B20	
18018	UPI000C07BD30	UPI00117E8B20	
18019	UPI001CF23045	UPI00117E8B20	
18020	UPI0013E8F614	UPI00117E8B20	
18021	UPI0013E95882	UPI00117E8B20	
18022	UPI001CF338D0	UPI00117E8B20	
18023	UPI0013E99A66	UPI00117E8B20	
18024	UPI0005549732	UPI00117E8B20	
18025	A0A942W3Y6	UPI00117E8B20	
18026	A0A373RTM1	UPI00117E8B20	
18027	UPI00156D7E0D	UPI00117E8B20	
18028	UPI00214BCDE9	UPI00117E8B20	
18029	UPI000B3A5265	UPI00117E8B20	
18030	UPI0011057889	UPI00117E8B20	
18031	A0A1Y4RXW0	UPI00117E8B20	
18032	A0A417I7N3	UPI00117E8B20	
18033	R5XI90	UPI00117E8B20	
18034	UPI001FA904A0	UPI00117E8B20	
18035	A0A413HV38	UPI00117E8B20	
18036	UPI00158BD3F4	UPI00117E8B20	
18037	A0A3P1SE06	UPI00117E8B20	
18038	A0A927VB71	UPI00117E8B20	
18039	A0A1Y3TDJ3	UPI00117E8B20	
18040	R6RC12	UPI00117E8B20	
18041	UPI00157015ED	UPI00117E8B20	
18042	UPI001BE748CB	UPI00117E8B20	
18043	A0A943GKY9	UPI00117E8B20	
18044	A0A316LGB4	UPI00117E8B20	
18045	UPI00203DF39D	UPI00117E8B20	
18046	A0A2A8SHG4	UPI00117E8B20	
18047	UPI001F55EC5A	UPI00117E8B20	
18048	A0A7Z1FVL8	UPI00117E8B20	
18049	A0A7Z1KBK8	UPI00117E8B20	
18050	UPI00131E8191	UPI00131E8191	
18051	UPI0019433B18	UPI0019433B18	
18052	UPI0015CF5238	UPI0019433B18	
18053	UPI001F21D744	UPI0019433B18	
18054	UPI0014150D38	UPI0019433B18	
18055	UPI002020BF05	UPI0019433B18	
18056	UPI001A53DECA	UPI0019433B18	
18057	UPI001F1B26C7	UPI0019433B18	
18058	UPI00202144DB	UPI0019433B18	
18059	UPI001FEB2A6F	UPI0019433B18	
18060	UPI0021062A33	UPI0019433B18	
18061	UPI0020433BCB	UPI0019433B18	
18062	UPI002110F157	UPI0019433B18	
18063	UPI0013E2F531	UPI0019433B18	
18064	A0A927Z1P5	A0A927Z1P5	
18065	A0A929JTC3	A0A929JTC3	
18066	A0A930DPH2	A0A930DPH2	
18067	A0A955V0G5	A0A955V0G5	
18068	A0A956NDC9	A0A956NDC9	
18069	A0A956LZG0	A0A956NDC9	
18070	A0A958QF10	A0A958QF10	
18071	A0A958LS62	A0A958QF10	
18072	A0A959RX88	A0A959RX88	
18073	A0A966MNJ2	A0A966MNJ2	
18074	A0A968JND5	A0A968JND5	
18075	A0A971W1Y8	A0A971W1Y8	
18076	A0A972TFZ7	A0A972TFZ7	
18077	D5RES6	D5RES6	A0A7C1D5R2
18078	A0A2D3PLY0	D5RES6	A0A7C1D5R2
18079	A0A2D3PR70	D5RES6	A0A7C1D5R2
18080	A0A7G7AU13	D5RES6	A0A7C1D5R2
18081	UPI00071FADAD	D5RES6	A0A7C1D5R2
18082	UPI0001D09B05	D5RES6	A0A7C1D5R2
18083	UPI0003B82D1B	D5RES6	A0A7C1D5R2
18084	G6C2G5	D5RES6	A0A7C1D5R2
18085	X8IAC2	D5RES6	A0A7C1D5R2
18086	UPI0011C37B0A	D5RES6	A0A7C1D5R2
18087	UPI00195EB2D1	D5RES6	A0A7C1D5R2
18088	A0A2G9E7I3	D5RES6	A0A7C1D5R2
18089	A0A2G9EF03	D5RES6	A0A7C1D5R2
18090	A0A8G0JVS8	D5RES6	A0A7C1D5R2
18091	A0A7T4FQ51	D5RES6	A0A7C1D5R2
18092	UPI00027CA560	D5RES6	A0A7C1D5R2
18093	A0A241Q288	D5RES6	A0A7C1D5R2
18094	A0A8G0NLA0	D5RES6	A0A7C1D5R2
18095	A0A246EJE1	D5RES6	A0A7C1D5R2
18096	A0A930C3I1	D5RES6	A0A7C1D5R2
18097	A0A0M1VWD0	D5RES6	A0A7C1D5R2
18098	A0A3P1V0V6	D5RES6	A0A7C1D5R2
18099	A0A3P1VPM8	D5RES6	A0A7C1D5R2
18100	UPI001EED4813	D5RES6	A0A7C1D5R2
18101	UPI002236451E	D5RES6	A0A7C1D5R2
18102	A0A2C5ZIP8	D5RES6	A0A7C1D5R2
18103	A0A2D3JMS6	D5RES6	A0A7C1D5R2
18104	UPI00195DDFD6	D5RES6	A0A7C1D5R2
18105	A0A2C6A2D8	D5RES6	A0A7C1D5R2
18106	A0A2D3NX70	D5RES6	A0A7C1D5R2
18107	A0A2C6C496	D5RES6	A0A7C1D5R2
18108	A0A2D3NZC2	D5RES6	A0A7C1D5R2
18109	A0A2D3PB27	D5RES6	A0A7C1D5R2
18110	C7XQM3	D5RES6	A0A7C1D5R2
18111	UPI00042733BD	D5RES6	A0A7C1D5R2
18112	UPI002254750C	D5RES6	A0A7C1D5R2
18113	UPI00211EC698	D5RES6	A0A7C1D5R2
18114	U7UV77	D5RES6	A0A7C1D5R2
18115	A0A7X1LJQ7	D5RES6	A0A7C1D5R2
18116	E4TRN8	E4TRN8	A0A7C1D5R2
18117	UPI001668EAE2	E4TRN8	A0A7C1D5R2
18118	A0A432KJP5	E4TRN8	A0A7C1D5R2
18119	A0A2T4DDU5	E4TRN8	A0A7C1D5R2
18120	A0A2T0LNU7	A0A2T0LNU7	A0A7Y9DQ42
18121	A0A1G8P864	A0A2T0LNU7	A0A7Y9DQ42
18122	A0A2V2RIQ3	A0A2V2RIQ3	A0A7C0UC19
18123	A0A2V9RXP7	A0A2V9RXP7	A0A1I1P0F7
18124	A0A2W5S6L0	A0A2W5S6L0	A0A359KJP0
18125	A0A317JEW0	A0A317JEW0	Q7P1I4
18126	A0A349D8T1	A0A349D8T1	A0A7C0UC19
18127	A0A354W6W8	A0A354W6W8	A0A838VBS4
18128	A0A3B8I9M5	A0A3B8I9M5	A0A7C0UC19
18129	A0A3B9UFG0	A0A3B9UFG0	A0A1E4F369
18130	A0A0R2SHD9	A0A3B9UFG0	A0A1E4F369
18131	A0A2G4HB79	A0A3B9UFG0	A0A1E4F369
18132	A0A3D0X4A1	A0A3D0X4A1	A0A7C1D5R2
18133	A0A3D1UW22	A0A3D1UW22	A0A7C0UC19
18134	A0A3M1FEW4	A0A3M1FEW4	A0A3M1FEW4
18135	A0A7V3N656	A0A3M1FEW4	A0A3M1FEW4
18136	A0A3N9N6D8	A0A3N9N6D8	A0A7C1D5R2
18137	A0A3N5JT05	A0A3N9N6D8	A0A7C1D5R2
18138	A0A3N9P634	A0A3N9N6D8	A0A7C1D5R2
18139	A0A485CT12	A0A485CT12	A0A485CT12
18140	A0A4P7AGN5	A0A4P7AGN5	A0A7C1D5R2
18141	A0A1B3SKQ2	A0A4P7AGN5	A0A7C1D5R2
18142	A0A6I6C6W8	A0A4P7AGN5	A0A7C1D5R2
18143	A0A4R1R8M4	A0A4R1R8M4	A0A4R1R8M4
18144	UPI0019205C48	UPI0019205C48	
18145	UPI0019414AB7	UPI0019414AB7	
18146	UPI001B1D3BE7	UPI001B1D3BE7	
18147	A0A515ETV9	UPI001B1D3BE7	
18148	UPI001421AF7E	UPI001B1D3BE7	
18149	A0A8H9NKK3	UPI001B1D3BE7	
18150	UPI00141E8124	UPI001B1D3BE7	
18151	A0A3A8F708	UPI001B1D3BE7	
18152	UPI00155F1AAA	UPI001B1D3BE7	
18153	UPI00224B444B	UPI001B1D3BE7	
18154	UPI0019129C1A	UPI001B1D3BE7	
18155	UPI0009C17BC4	UPI001B1D3BE7	
18156	UPI00158A2BCD	UPI001B1D3BE7	
18157	UPI00075DA0A1	UPI001B1D3BE7	
18158	A0A8T9I564	UPI001B1D3BE7	
18159	UPI001CBEF5C6	UPI001B1D3BE7	
18160	UPI00070A508D	UPI001B1D3BE7	
18161	UPI00073AE564	UPI001B1D3BE7	
18162	UPI0012AB44AC	UPI001B1D3BE7	
